freq,db,phaseDeg
34400000000,-0.690648855541769,-119.445087790601
34500000000,-0.725989098529925,-119.747580671344
34600000000,-0.761362137415632,-120.049078231624
34700000000,-0.796767259647405,-120.349584030804
34800000000,-0.832203760251671,-120.649101624063
34900000000,-0.867670941756746,-120.947634562196
35000000000,-0.903168114117514,-121.245186391418
35100000000,-0.938694594640864,-121.541760653174
35200000000,-0.974249707911913,-121.837360883952
35300000000,-1.00983278572088,-122.131990615104
35400000000,-1.04544316699073,-122.425653372666
35500000000,-1.08108019770559,-122.718352677186
35600000000,-1.11674323083973,-123.010092043558
35700000000,-1.15243162628743,-123.300874980854
35800000000,-1.18814475079339,-123.590704992165
35900000000,-1.22388197788392,-123.879585574446
36000000000,-1.2596426877988,-124.167520218362
36100000000,-1.29542626742376,-124.454512408142
36200000000,-1.33123211022376,-124.74056562143
36300000000,-1.36705961617676,-125.02568332915
36400000000,-1.40290819170832,-125.309868995364
36500000000,-1.43877724962672,-125.59312607714
36600000000,-1.47466620905881,-125.875458024422
36700000000,-1.51057449538645,-126.156868279904
36800000000,-1.54650154018361,-126.437360278906
36900000000,-1.58244678115409,-126.716937449252
37000000000,-1.61840966206986,-126.995603211159
37100000000,-1.65438963270997,-127.273360977117
37200000000,-1.69038614880021,-127.550214151783
37300000000,-1.72639867195317,-127.826166131871
37400000000,-1.76242666960908,-128.101220306051
37500000000,-1.79846961497712,-128.375380054844
37600000000,-1.83452698697735,-128.648648750528
37700000000,-1.87059827018328,-128.921029757037
37800000000,-1.90668295476494,-129.192526429874
37900000000,-1.9427805364325,-129.463142116017
38000000000,-1.97889051638056,-129.732880153835
38100000000,-2.01501240123287,-130.001743872999
38200000000,-2.05114570298772,-130.269736594404
38300000000,-2.08728993896379,-130.53686163009
38400000000,-2.12344463174655,-130.803122283159
38500000000,-2.15960930913526,-131.06852184771
38600000000,-2.19578350409044,-131.333063608758
38700000000,-2.23196675468186,-131.596750842169
38800000000,-2.26815860403713,-131.859586814591
38900000000,-2.30435860029066,-132.12157478339
39000000000,-2.34056629653331,-132.382717996587
39100000000,-2.37678125076239,-132.643019692795
39200000000,-2.41300302583225,-132.902483101163
39300000000,-2.44923118940534,-133.161111441318
39400000000,-2.48546531390373,-133.418907923311
39500000000,-2.52170497646117,-133.675875747565
39600000000,-2.55794975887562,-133.932018104823
39700000000,-2.59419924756218,-134.187338176101
39800000000,-2.63045303350661,-134.441839132642
39900000000,-2.66671071221921,-134.695524135867
40000000000,-2.70297188368929,-134.948396337337
40100000000,-2.73923615233989,-135.200458878709
40200000000,-2.77550312698318,-135.451714891698
40300000000,-2.8117724207762,-135.702167498038
40400000000,-2.84804365117699,-135.951819809447
40500000000,-2.88431643990127,-136.200674927591
40600000000,-2.92059041287949,-136.448735944054
40700000000,-2.95686520021435,-136.696005940303
40800000000,-2.99314043613868,-136.942487987663
40900000000,-3.0294157589738,-137.188185147284
41000000000,-3.06569081108832,-137.433100470118
41100000000,-3.10196523885726,-137.677236996892
41200000000,-3.13823869262168,-137.920597758087
41300000000,-3.17451082664865,-138.163185773909
41400000000,-3.21078129909165,-138.405004054276
41500000000,-3.24704977195135,-138.646055598794
41600000000,-3.28331591103682,-138.88634339674
41700000000,-3.31957938592708,-139.125870427043
41800000000,-3.35583986993308,-139.364639658271
41900000000,-3.39209704006003,-139.602654048614
42000000000,-3.42835057697013,-139.839916545875
42100000000,-3.46460016494563,-140.07643008745
42200000000,-3.50084549185238,-140.312197600327
42300000000,-3.53708624910356,-140.547222001066
42400000000,-3.57332213162393,-140.781506195798
42500000000,-3.60955283781441,-141.015053080216
42600000000,-3.64577806951694,-141.247865539564
42700000000,-3.68199753197976,-141.479946448636
42800000000,-3.71821093382303,-141.71129867177
42900000000,-3.75441798700481,-141.941925062845
43000000000,-3.79061840678732,-142.171828465277
43100000000,-3.8268119117036,-142.401011712019
43200000000,-3.86299822352448,-142.62947762556
43300000000,-3.89917706722589,-142.857229017925
43400000000,-3.93534817095649,-143.084268690676
43500000000,-3.97151126600564,-143.310599434916
43600000000,-4.00766608677167,-143.536224031288
43700000000,-4.0438123707305,-143.761145249981
43800000000,-4.0799498584045,-143.985365850738
43900000000,-4.11607829333181,-144.208888582854
44000000000,-4.15219742203578,-144.431716185188
44100000000,-4.18830699399491,-144.653851386167
44200000000,-4.2244067616129,-144.875296903798
44300000000,-4.26049648018917,-145.096055445668
44400000000,-4.29657590788958,-145.316129708962
44500000000,-4.33264480571744,-145.535522380469
44600000000,-4.36870293748489,-145.75423613659
44700000000,-4.40475006978447,-145.972273643353
44800000000,-4.44078597196104,-146.189637556426
44900000000,-4.47681041608399,-146.406330521122
45000000000,-4.51282317691964,-146.622355172421
45100000000,-4.54882403190404,-146.837714134979
45200000000,-4.58481276111597,-147.052410023142
45300000000,-4.62078914725019,-147.266445440962
45400000000,-4.65675297559103,-147.479822982213
45500000000,-4.69270403398621,-147.692545230404
45600000000,-4.72864211282089,-147.904614758802
45700000000,-4.76456700499203,-148.116034130439
45800000000,-4.80047850588301,-148.32680589814
45900000000,-4.83637641333845,-148.536932604534
46000000000,-4.87226052763933,-148.746416782074
46100000000,-4.90813065147837,-148.955260953059
46200000000,-4.94398658993558,-149.16346762965
46300000000,-4.97982815045417,-149.371039313889
46400000000,-5.01565514281661,-149.577978497725
